canonicalForm	description	predicate	event	activity	actor	object	inverse	source	vocabulary
upload	Transfer data or files from a local device to a server or cloud system	uploads	uploaded	uploading	Uploader	Upload	uploadedBy
utilize	Make practical and effective use of something for a specific purpose or goal	utilizes	utilized	utilizing	Utilizer	Utilization	utilizedBy
Position	Place or arrange something in a particular location or role	positions	positioned	positioning	Positioner	Positioning	positionedBy
Time	Schedule or coordinate the scheduling of events or activities	times	timed	timing	Timer	Timing	timedBy
Sample	Select or extract a representative subset from a larger population	samples	sampled	sampling	Sampler	Sampling	sampledBy
Fund	Provide financial resources or capital to support operations or projects	funds	funded	funding	Funder	Funding	fundedBy
Score	Achieve points or evaluate performance against predetermined criteria	scores	scored	scoring	Scorer	Scoring	scoredBy
Price	Determine or set the cost of goods or services	prices	priced	pricing	Pricer	Pricing	pricedBy
Finance	Provide capital or monetary resources to support business operations	finances	financed	financing	Financer	Financing	financedBy
License	Grant official permission or authority to operate or perform activities	licenses	licensed	licensing	Licenser	Licensing	licensedBy
Warehouse	Store or hold goods in a facility for inventory management	warehouses	warehoused	warehousing	Warehouser	Warehousing	warehoused By
Reprocess	Treat or process something again to improve quality or compliance	reprocesses	reprocessed	reprocessing	Reprocessor	Reprocessing	reprocessedBy
Resource	Allocate or provide necessary materials, assets, or human capital	resources	resourced	resourcing	Resourcer	Resourcing	resourcedBy
Restructure	Reorganize or redesign an organization or system for improved efficiency	restructures	restructured	restructuring	Restructurer	Restructuring	restructuredBy
Resume	Continue or recommence an activity that was previously paused	resumes	resumed	resuming	Resumer	Resuming	resumedBy
Map	Create a representation or plan showing relationships or locations	maps	mapped	mapping	Mapper	Mapping	mappedBy
Work	Perform tasks or labor to accomplish objectives or goals	works	worked	working	Worker	Working	workedByrefresh	To update, renew, or restore something to a current or improved state; to make something feel new or revitalized	refreshes	refreshed	refreshing	Refresher	Refreshment	refreshedBy
advise	To advise	advises	advised	advising	adviser	advisation		generated	general
study	To study	studies	studied	studying	studyer	studyation		generated	general
instruct	To instruct	instructs	instructed	instructing	instructer	instruction		generated	general
attend	To attend	attends	attended	attending	attender	attendation		generated	general
act	To act	acts	acted	acting	acter	action		generated	general
turn	To turn	turns	turned	turning	turner	turnation		generated	general
lay	To lay	lays	layed	laying	layer	layation		generated	general
researchresolve	To researchresolve	researchresolves	researchresolved	researchresolving	researchresolver	researchresolvation		generated	general
correspondnegotiate	To correspondnegotiate	correspondnegotiates	correspondnegotiated	correspondnegotiating	correspondnegotiater	correspondnegotiatation		generated	general
fabricate	To fabricate	fabricates	fabricated	fabricating	fabricater	fabricatation		generated	general
prescribe	To prescribe	prescribes	prescribed	prescribing	prescriber	prescribation		generated	general
trim	To trim	trims	trimmed	trimming	trimer	trimation		generated	general
mark	To mark	marks	marked	marking	marker	markation		generated	general
weigh	To weigh	weighs	weighed	weighing	weigher	weighation		generated	general
sort	To sort	sorts	sorted	sorting	sorter	sortion		generated	general
fit	To fit	fits	fitted	fitting	fiter	fition		generated	general
visit	To visit	visits	visitted	visitting	visiter	visition		generated	general
transmit	To transmit	transmits	transmitted	transmitting	transmiter	transmition		generated	general
greet	To greet	greets	greeted	greeting	greeter	greetion		generated	general
treat	To treat	treats	treated	treating	treater	treation		generated	general
signal	To signal	signals	signalled	signalling	signaler	signalation		generated	general
dispose	To dispose	disposes	disposed	disposing	disposer	disposation		generated	general
mount	To mount	mounts	mounted	mounting	mounter	mountion		generated	general
access	To access	accesses	accessed	accessing	accesser	accessation		generated	general
appoint	To appoint	appoints	appointed	appointing	appointer	appointion		generated	general
represent	To represent	represents	represented	representing	representer	represention		generated	general
devise	To devise	devises	devised	devising	deviser	devisation		generated	general
requisition	To requisition	requisitions	requisitioned	requisitioning	requisitioner	requisitionation		generated	general
insert	To insert	inserts	inserted	inserting	inserter	insertion		generated	general
wash	To wash	washes	washed	washing	washer	washation		generated	general
recruitsource	To recruitsource	recruitsources	recruitsourced	recruitsourcing	recruitsourcer	recruitsourcation		generated	general
unwind	To unwind	unwinds	unwinded	unwinding	unwinder	unwindation		generated	general
reengineer	To reengineer	reengineers	reengineered	reengineering	reengineerer	reengineeration		generated	general
testify	To testify	testifies	testified	testifying	testifyer	testifyation		generated	general
terminate	To terminate	terminates	terminated	terminating	terminater	terminatation		generated	general
processreview	To processreview	processreviews	processreviewed	processreviewing	processreviewer	processreviewation		generated	general
createdistribute	To createdistribute	createdistributes	createdistributed	createdistributing	createdistributer	createdistributation		generated	general
monitormanage	To monitormanage	monitormanages	monitormanaged	monitormanaging	monitormanager	monitormanagation		generated	general
prepareanalyze	To prepareanalyze	prepareanalyzes	prepareanalyzed	prepareanalyzing	prepareanalyzer	prepareanalyzation		generated	general
managetrack	To managetrack	managetracks	managetracked	managetracking	managetracker	managetrackation		generated	general
createmaintain	To createmaintain	createmaintains	createmaintained	createmaintaining	createmaintainer	createmaintaination		generated	general
redeploy	To redeploy	redeploys	redeployed	redeploying	redeployer	redeployation		generated	general
managecollect	To managecollect	managecollects	managecollected	managecollecting	managecollecter	managecollection		generated	general
articulate	To articulate	articulates	articulated	articulating	articulater	articulatation		generated	general
monitoranalyze	To monitoranalyze	monitoranalyzes	monitoranalyzed	monitoranalyzing	monitoranalyzer	monitoranalyzation		generated	general
asses	To asses	asseses	assessed	assessing	asseser	assesation		generated	general
maintainoptimize	To maintainoptimize	maintainoptimizes	maintainoptimized	maintainoptimizing	maintainoptimizer	maintainoptimization		generated	general
scheduleoptimize	To scheduleoptimize	scheduleoptimizes	scheduleoptimized	scheduleoptimizing	scheduleoptimizer	scheduleoptimization		generated	general
analyzeapprove	To analyzeapprove	analyzeapproves	analyzeapproved	analyzeapproving	analyzeapprover	analyzeapprovation		generated	general
reinstate	To reinstate	reinstates	reinstated	reinstating	reinstater	reinstatation		generated	general
receivedeposit	To receivedeposit	receivedeposits	receivedepositted	receivedepositting	receivedepositer	receivedeposition		generated	general
closecapitalize	To closecapitalize	closecapitalizes	closecapitalized	closecapitalizing	closecapitalizer	closecapitalization		generated	general
maintainmanage	To maintainmanage	maintainmanages	maintainmanaged	maintainmanaging	maintainmanager	maintainmanagation		generated	general
identifydedicate	To identifydedicate	identifydedicates	identifydedicated	identifydedicating	identifydedicater	identifydedicatation		generated	general
amend	To amend	amends	amended	amending	amender	amendation		generated	general
engageretain	To engageretain	engageretains	engageretained	engageretaining	engageretainer	engageretaination		generated	general
establishclarify	To establishclarify	establishclarifies	establishclarified	establishclarifying	establishclarifyer	establishclarifyation		generated	general
enhancemodify	To enhancemodify	enhancemodifies	enhancemodified	enhancemodifying	enhancemodifyer	enhancemodifyation		generated	general
patrol	To patrol	patrols	patrolled	patrolling	patroler	patrolation		generated	general
lift	To lift	lifts	lifted	lifting	lifter	liftion		generated	general
migrate	To migrate	migrates	migrated	migrating	migrater	migratation		generated	general
modifyrevise	To modifyrevise	modifyrevises	modifyrevised	modifyrevising	modifyreviser	modifyrevisation		generated	general
completefinalize	To completefinalize	completefinalizes	completefinalized	completefinalizing	completefinalizer	completefinalization		generated	general
maintainupdate	To maintainupdate	maintainupdates	maintainupdated	maintainupdating	maintainupdater	maintainupdatation		generated	general
operationalize	To operationalize	operationalizes	operationalized	operationalizing	operationalizer	operationalization		generated	general
approvechange	To approvechange	approvechanges	approvechanged	approvechanging	approvechanger	approvechangation		generated	general
canceldeactivate	To canceldeactivate	canceldeactivates	canceldeactivated	canceldeactivating	canceldeactivater	canceldeactivatation		generated	general
renewreplace	To renewreplace	renewreplaces	renewreplaced	renewreplacing	renewreplacer	renewreplacation		generated	general
dismantle	To dismantle	dismantles	dismantled	dismantling	dismantler	dismantlation		generated	general
acquiresecure	To acquiresecure	acquiresecures	acquiresecured	acquiresecuring	acquiresecurer	acquiresecuration		generated	general
drill	To drill	drills	drilled	drilling	driller	drillation		generated	general
smooth	To smooth	smooths	smoothed	smoothing	smoother	smoothation		generated	general
deduplicate	To deduplicate	deduplicates	deduplicated	deduplicating	deduplicater	deduplicatation		generated	general
salvage	To salvage	salvages	salvaged	salvaging	salvager	salvagation		generated	general
cover	To cover	covers	coverred	coverring	coverer	coveration		generated	general
spray	To spray	sprays	sprayed	spraying	sprayer	sprayation		generated	general
shape	To shape	shapes	shaped	shaping	shaper	shapation		generated	general
tend	To tend	tends	tended	tending	tender	tendation		generated	general
identifyreceive	To identifyreceive	identifyreceives	identifyreceived	identifyreceiving	identifyreceiver	identifyreceivation		generated	general
submitpresent	To submitpresent	submitpresents	submitpresented	submitpresenting	submitpresenter	submitpresention		generated	general
rerun	To rerun	reruns	rerunned	rerunning	reruner	rerunation		generated	general
solicittrack	To solicittrack	solicittracks	solicittracked	solicittracking	solicittracker	solicittrackation		generated	general
produceassembletest	To produceassembletest	produceassembletests	produceassembletested	produceassembletesting	produceassembletester	produceassembletestion		generated	general
produceassemble	To produceassemble	produceassembles	produceassembled	produceassembling	produceassembler	produceassemblation		generated	general
identifyperform	To identifyperform	identifyperforms	identifyperformed	identifyperforming	identifyperformer	identifyperformation		generated	general
feed	To feed	feeds	feeded	feeding	feeder	feedation		generated	general
listen	To listen	listens	listenned	listenning	listener	listenation		generated	general
reassemble	To reassemble	reassembles	reassembled	reassembling	reassembler	reassemblation		generated	general
fasten	To fasten	fastens	fastenned	fastenning	fastener	fastenation		generated	general
press	To press	presses	pressed	pressing	presser	pressation		generated	general
erect	To erect	erects	erected	erecting	erecter	erection		generated	general
lubricate	To lubricate	lubricates	lubricated	lubricating	lubricater	lubricatation		generated	general
dress	To dress	dresses	dressed	dressing	dresser	dressation		generated	general
grind	To grind	grinds	grinded	grinding	grinder	grindation		generated	general
input	To input	inputs	inputted	inputting	inputer	inpution		generated	general
compose	To compose	composes	composed	composing	composer	composation		generated	general
photograph	To photograph	photographs	photographed	photographing	photographer	photographation		generated	general
finish	To finish	finishes	finished	finishing	finisher	finishation		generated	general
trace	To trace	traces	traced	tracing	tracer	tracation		generated	general
manipulate	To manipulate	manipulates	manipulated	manipulating	manipulater	manipulatation		generated	general
relay	To relay	relays	relayed	relaying	relayer	relayation		generated	general
care	To care	cares	cared	caring	carer	caration		generated	general
spread	To spread	spreads	spreaded	spreading	spreader	spreadation		generated	general
thread	To thread	threads	threaded	threading	threader	threadation		generated	general
package	To package	packages	packaged	packaging	packager	packagation		generated	general
call	To call	calls	called	calling	caller	callation		generated	general
travel	To travel	travels	travelled	travelling	traveler	travelation		generated	general
splice	To splice	splices	spliced	splicing	splicer	splication		generated	general
accompany	To accompany	accompanies	accompanied	accompanying	accompanyer	accompanyation		generated	general
pour	To pour	pours	poured	pouring	pourer	pouration		generated	general
climb	To climb	climbs	climbed	climbing	climber	climbation		generated	general
weld	To weld	welds	welded	welding	welder	weldation		generated	general
pull	To pull	pulls	pulled	pulling	puller	pullation		generated	general
stay	To stay	stays	stayed	staying	stayer	stayation		generated	general
specialize	To specialize	specializes	specialized	specializing	specializer	specialization		generated	general
clear	To clear	clears	cleared	clearing	clearer	clearation		generated	general
grade	To grade	grades	graded	grading	grader	gradation		generated	general
brush	To brush	brushes	brushed	brushing	brusher	brushation		generated	general
wrap	To wrap	wraps	wrapped	wrapping	wraper	wrapation		generated	general
scrape	To scrape	scrapes	scraped	scraping	scraper	scrapation		generated	general
sweep	To sweep	sweeps	sweeped	sweeping	sweeper	sweepation		generated	general
seal	To seal	seals	sealed	sealing	sealer	sealation		generated	general
paint	To paint	paints	painted	painting	painter	paintion		generated	general
push	To push	pushes	pushed	pushing	pusher	pushation		generated	general
advocate	To advocate	advocates	advocated	advocating	advocater	advocatation		generated	general
talk	To talk	talks	talked	talking	talker	talkation		generated	general
employ	To employ	employs	employed	employing	employer	employation		generated	general
raise	To raise	raises	raised	raising	raiser	raisation		generated	general
sew	To sew	sews	sewed	sewing	sewer	sewation		generated	general
transcribe	To transcribe	transcribes	transcribed	transcribing	transcriber	transcribation		generated	general
announce	To announce	announces	announced	announcing	announcer	announcation		generated	general
separate	To separate	separates	separated	separating	separater	separatation		generated	general
escort	To escort	escorts	escorted	escorting	escorter	escortion		generated	general
rotate	To rotate	rotates	rotated	rotating	rotater	rotatation		generated	general
bolt	To bolt	bolts	bolted	bolting	bolter	boltion		generated	general
immerse	To immerse	immerses	immersed	immersing	immerser	immersation		generated	general
lower	To lower	lowers	lowered	lowering	lowerer	loweration		generated	general
code	To code	codes	coded	coding	coder	codation		generated	general
sponsor	To sponsor	sponsors	sponsorred	sponsorring	sponsorer	sponsoration		generated	general
polish	To polish	polishes	polished	polishing	polisher	polishation		generated	general
sharpen	To sharpen	sharpens	sharpenned	sharpenning	sharpener	sharpenation		generated	general
restore	To restore	restores	restored	restoring	restorer	restoration		generated	general
phase	To phase	phases	phased	phasing	phaser	phasation		generated	general
exchange	To exchange	exchanges	exchanged	exchanging	exchanger	exchangation		generated	general
restock	To restock	restocks	restocked	restocking	restocker	restockation		generated	general
exercise	To exercise	exercises	exercised	exercising	exerciser	exercisation		generated	general
break	To break	breaks	breaked	breaking	breaker	breakation		generated	general
type	To type	types	typed	typing	typer	typation		generated	general
restrain	To restrain	restrains	restrained	restraining	restrainer	restraination		generated	general
dust	To dust	dusts	dusted	dusting	duster	dustion		generated	general
question	To question	questions	questioned	questioning	questioner	questionation		generated	general
hang	To hang	hangs	hanged	hanging	hanger	hangation		generated	general
rent	To rent	rents	rented	renting	renter	rention		generated	general
stamp	To stamp	stamps	stamped	stamping	stamper	stampation		generated	general
string	To string	strings	stringed	stringing	stringer	stringation		generated	general
dump	To dump	dumps	dumped	dumping	dumper	dumpation		generated	general
hammer	To hammer	hammers	hammerred	hammerring	hammerer	hammeration		generated	general
setup	To setup	setups	setupped	setupping	setuper	setupation		generated	general
rebuild	To rebuild	rebuilds	rebuilded	rebuilding	rebuilder	rebuildation		generated	general
sign	To sign	signs	signed	signing	signer	signation		generated	general
structure	To structure	structures	structured	structuring	structurer	structuration		generated	general
overhaul	To overhaul	overhauls	overhauled	overhauling	overhauler	overhaulation		generated	general
show	To show	shows	showed	showing	shower	showation		generated	general
contribute	To contribute	contributes	contributed	contributing	contributer	contributation		generated	general
quote	To quote	quotes	quoted	quoting	quoter	quotation		generated	general
adhere	To adhere	adheres	adhered	adhering	adherer	adheration		generated	general
ask	To ask	asks	asked	asking	asker	askation		generated	general
audition	To audition	auditions	auditioned	auditioning	auditioner	auditionation		generated	general
heat	To heat	heats	heated	heating	heater	heation		generated	general
massage	To massage	massages	massaged	massaging	massager	massagation		generated	general
roll	To roll	rolls	rolled	rolling	roller	rollation		generated	general
stand	To stand	stands	standed	standing	stander	standation		generated	general
walk	To walk	walks	walked	walking	walker	walkation		generated	general
tie	To tie	ties	tied	tying	tier	tiation		generated	general
nail	To nail	nails	nailed	nailing	nailer	nailation		generated	general
chip	To chip	chips	chipped	chipping	chiper	chipation		generated	general
sprinkle	To sprinkle	sprinkles	sprinkled	sprinkling	sprinkler	sprinklation		generated	general
preheat	To preheat	preheats	preheated	preheating	preheater	preheation		generated	general
stack	To stack	stacks	stacked	stacking	stacker	stackation		generated	general
recycle	To recycle	recycles	recycled	recycling	recycler	recyclation		generated	general
project	To project	projects	projected	projecting	projecter	projection		generated	general
disaggregate	To disaggregate	disaggregates	disaggregated	disaggregating	disaggregater	disaggregatation		generated	general
back	To back	backs	backed	backing	backer	backation		generated	general
book	To book	books	booked	booking	booker	bookation		generated	general
deposit	To deposit	deposits	depositted	depositting	depositer	deposition		generated	general
light	To light	lights	lighted	lighting	lighter	lightion		generated	general
render	To render	renders	renderred	renderring	renderer	renderation		generated	general
involve	To involve	involves	involved	involving	involver	involvation		generated	general
handover	To handover	handovers	handoverred	handoverring	handoverer	handoveration		generated	general
cement	To cement	cements	cemented	cementing	cementer	cemention		generated	general
rate	To rate	rates	rated	rating	rater	ratation		generated	general
shut	To shut	shuts	shutted	shutting	shuter	shution		generated	general
warn	To warn	warns	warned	warning	warner	warnation		generated	general
furnish	To furnish	furnishes	furnished	furnishing	furnisher	furnishation		generated	general
duplicate	To duplicate	duplicates	duplicated	duplicating	duplicater	duplicatation		generated	general
preserve	To preserve	preserves	preserved	preserving	preserver	preservation		generated	general
key	To key	keys	keyed	keying	keyer	keyation		generated	general
decontaminate	To decontaminate	decontaminates	decontaminated	decontaminating	decontaminater	decontaminatation		generated	general
aid	To aid	aids	aided	aiding	aider	aidation		generated	general
visually	To visually	visuallies	visuallied	visuallying	visuallyer	visuallyation		generated	general
distinguish	To distinguish	distinguishes	distinguished	distinguishing	distinguisher	distinguishation		generated	general
rule	To rule	rules	ruled	ruling	ruler	rulation		generated	general
tutor	To tutor	tutors	tutorred	tutorring	tutorer	tutoration		generated	general
decorate	To decorate	decorates	decorated	decorating	decorater	decoratation		generated	general
sing	To sing	sings	singed	singing	singer	singation		generated	general
play	To play	plays	played	playing	player	playation		generated	general
expose	To expose	exposes	exposed	exposing	exposer	exposation		generated	general
disinfect	To disinfect	disinfects	disinfected	disinfecting	disinfecter	disinfection		generated	general
cool	To cool	cools	cooled	cooling	cooler	coolation		generated	general
plant	To plant	plants	planted	planting	planter	plantion		generated	general
shovel	To shovel	shovels	shovelled	shovelling	shoveler	shovelation		generated	general
join	To join	joins	joined	joining	joiner	joination		generated	general
cash	To cash	cashes	cashed	cashing	casher	cashation		generated	general
mail	To mail	mails	mailed	mailing	mailer	mailation		generated	general
fold	To fold	folds	folded	folding	folder	foldation		generated	general
steer	To steer	steers	steered	steering	steerer	steeration		generated	general
straighten	To straighten	straightens	straightenned	straightenning	straightener	straightenation		generated	general
bore	To bore	bores	bored	boring	borer	boration		generated	general
stretch	To stretch	stretches	stretched	stretching	stretcher	stretchation		generated	general
buff	To buff	buffs	buffed	buffing	buffer	buffation		generated	general
level	To level	levels	levelled	levelling	leveler	levelation		generated	general
mold	To mold	molds	molded	molding	molder	moldation		generated	general
wet	To wet	wets	weted	weting	weter	wetion		generated	general
sand	To sand	sands	sanded	sanding	sander	sandation		generated	general
cure	To cure	cures	cured	curing	curer	curation		generated	general
bend	To bend	bends	bended	bending	bender	bendation		generated	general
solder	To solder	solders	solderred	solderring	solderer	solderation		generated	general
tighten	To tighten	tightens	tightenned	tightenning	tightener	tightenation		generated	general
refinish	To refinish	refinishes	refinished	refinishing	refinisher	refinishation		generated	general
melt	To melt	melts	melted	melting	melter	meltion		generated	general
demolish	To demolish	demolishes	demolished	demolishing	demolisher	demolishation		generated	general
renew	To renew	renews	renewed	renewing	renewer	renewation		generated	general
interface	To interface	interfaces	interfaced	interfacing	interfacer	interfacation		generated	general
simulate	To simulate	simulates	simulated	simulating	simulater	simulatation		generated	general
aggregate	To aggregate	aggregates	aggregated	aggregating	aggregater	aggregatation		generated	general
pass	To pass	passes	passed	passing	passer	passation		generated	general
collate	To collate	collates	collated	collating	collater	collatation		generated	general
embed	To embed	embeds	embedded	embedding	embeder	embedation		generated	general
network	To network	networks	networked	networking	networker	networkation		generated	general
adjudicate	To adjudicate	adjudicates	adjudicated	adjudicating	adjudicater	adjudicatation		generated	general
discharge	To discharge	discharges	discharged	discharging	discharger	dischargation		generated	general
affix	To affix	affixes	affixed	affixing	affixer	affixation		generated	general
flag	To flag	flags	flagged	flagging	flager	flagation		generated	general
profile	To profile	profiles	profiled	profiling	profiler	profilation		generated	general
circulate	To circulate	circulates	circulated	circulating	circulater	circulatation		generated	general
redesign	To redesign	redesigns	redesigned	redesigning	redesigner	redesignation		generated	general
alter	To alter	alters	alterred	alterring	alterer	alteration		generated	general
plot	To plot	plots	plotted	plotting	ploter	plotion		generated	general
reproduce	To reproduce	reproduces	reproduced	reproducing	reproducer	reproducation		generated	general
isolate	To isolate	isolates	isolated	isolating	isolater	isolatation		generated	general
sketch	To sketch	sketches	sketched	sketching	sketcher	sketchation		generated	general
water	To water	waters	waterred	waterring	waterer	wateration		generated	general
practice	To practice	practices	practiced	practicing	practicer	practication		generated	general
proofread	To proofread	proofreads	proofreaded	proofreading	proofreader	proofreadation		generated	general
synchronize	To synchronize	synchronizes	synchronized	synchronizing	synchronizer	synchronization		generated	general
patch	To patch	patches	patched	patching	patcher	patchation		generated	general
view	To view	views	viewed	viewing	viewer	viewation		generated	general
bleach	To bleach	bleaches	bleached	bleaching	bleacher	bleachation		generated	general
compound	To compound	compounds	compounded	compounding	compounder	compoundation		generated	general
inject	To inject	injects	injected	injecting	injecter	injection		generated	general
feel	To feel	feels	feeled	feeling	feeler	feelation		generated	general
stain	To stain	stains	stained	staining	stainer	staination		generated	general
comfort	To comfort	comforts	comforted	comforting	comforter	comfortion		generated	general
scrub	To scrub	scrubs	scrubbed	scrubbing	scruber	scrubation		generated	general
bathe	To bathe	bathes	bathed	bathing	bather	bathation		generated	general
sterilize	To sterilize	sterilizes	sterilized	sterilizing	sterilizer	sterilization		generated	general
clamp	To clamp	clamps	clamped	clamping	clamper	clampation		generated	general
apprehend	To apprehend	apprehends	apprehended	apprehending	apprehender	apprehendation		generated	general
rescue	To rescue	rescues	rescued	rescuing	rescuer	rescuation		generated	general
note	To note	notes	noted	noting	noter	notation		generated	general
wind	To wind	winds	winded	winding	winder	windation		generated	general
cook	To cook	cooks	cooked	cooking	cooker	cookation		generated	general
bake	To bake	bakes	baked	baking	baker	bakation		generated	general
carve	To carve	carves	carved	carving	carver	carvation		generated	general
vacuum	To vacuum	vacuums	vacuumed	vacuuming	vacuumer	vacuumation		generated	general
slice	To slice	slices	sliced	slicing	slicer	slication		generated	general
prune	To prune	prunes	pruned	pruning	pruner	prunation		generated	general
haul	To haul	hauls	hauled	hauling	hauler	haulation		generated	general
reset	To reset	resets	resetted	resetting	reseter	resetion		generated	general
page	To page	pages	paged	paging	pager	pagation		generated	general
stencil	To stencil	stencils	stencilled	stencilling	stenciler	stencilation		generated	general
print	To print	prints	printed	printing	printer	printion		generated	general
saw	To saw	saws	sawed	sawing	sawer	sawation		generated	general
disconnect	To disconnect	disconnects	disconnected	disconnecting	disconnecter	disconnection		generated	general
waterproof	To waterproof	waterproofs	waterproofed	waterproofing	waterproofer	waterproofation		generated	general
scribe	To scribe	scribes	scribed	scribing	scriber	scribation		generated	general
ride	To ride	rides	rided	riding	rider	ridation		generated	general
glue	To glue	glues	glued	gluing	gluer	gluation		generated	general
withdraw	To withdraw	withdraws	withdrawed	withdrawing	withdrawer	withdrawation		generated	general
oil	To oil	oils	oiled	oiling	oiler	oilation		generated	general
rewire	To rewire	rewires	rewired	rewiring	rewirer	rewiration		generated	general
tune	To tune	tunes	tuned	tuning	tuner	tunation		generated	general
drain	To drain	drains	drained	draining	drainer	draination		generated	general
rinse	To rinse	rinses	rinsed	rinsing	rinser	rinsation		generated	general
unclamp	To unclamp	unclamps	unclamped	unclamping	unclamper	unclampation		generated	general
couple	To couple	couples	coupled	coupling	coupler	couplation		generated	general
refuel	To refuel	refuels	refueled	refueling	refueler	refuelation		generated	general
tow	To tow	tows	towed	towing	tower	towation		generated	general
setdevelop	To setdevelop	setdevelops	setdevelopped	setdevelopping	setdeveloper	setdevelopation		generated	general
quarantine	To quarantine	quarantines	quarantined	quarantining	quarantiner	quarantination		generated	general
certifyapprove	To certifyapprove	certifyapproves	certifyapproved	certifyapproving	certifyapprover	certifyapprovation		generated	general
broadcast	To broadcast	broadcasts	broadcasted	broadcasting	broadcaster	broadcastion		generated	general
trackmanage	To trackmanage	trackmanages	trackmanaged	trackmanaging	trackmanager	trackmanagation		generated	general
strike	To strike	strikes	striked	striking	striker	strikation		generated	general
recommendnot	To recommendnot	recommendnots	recommendnotted	recommendnotting	recommendnoter	recommendnotion		generated	general
reinforce	To reinforce	reinforces	reinforced	reinforcing	reinforcer	reinforcation		generated	general
trade	To trade	trades	traded	trading	trader	tradation		generated	general
acquireprocess	To acquireprocess	acquireprocesses	acquireprocessed	acquireprocessing	acquireprocesser	acquireprocessation		generated	general
plug	To plug	plugs	plugged	plugging	pluger	plugation		generated	general
perforate	To perforate	perforates	perforated	perforating	perforater	perforatation		generated	general
correlate	To correlate	correlates	correlated	correlating	correlater	correlatation		generated	general
characterize	To characterize	characterizes	characterized	characterizing	characterizer	characterization		generated	general
remind	To remind	reminds	reminded	reminding	reminder	remindation		generated	general
enroll	To enroll	enrolls	enrolled	enrolling	enroller	enrollation		generated	general
nominate	To nominate	nominates	nominated	nominating	nominater	nominatation		generated	general
preside	To preside	presides	presided	presiding	presider	presidation		generated	general
hear	To hear	hears	heared	hearing	hearer	hearation		generated	general
diagram	To diagram	diagrams	diagrammed	diagramming	diagramer	diagramation		generated	general
engineer	To engineer	engineers	engineered	engineering	engineerer	engineeration		generated	general
impose	To impose	imposes	imposed	imposing	imposer	imposation		generated	general
arrest	To arrest	arrests	arrested	arresting	arrester	arrestion		generated	general
shade	To shade	shades	shaded	shading	shader	shadation		generated	general
conserve	To conserve	conserves	conserved	conserving	conserver	conservation		generated	general
transplant	To transplant	transplants	transplanted	transplanting	transplanter	transplantion		generated	general
divide	To divide	divides	divided	dividing	divider	dividation		generated	general
brief	To brief	briefs	briefed	briefing	briefer	briefation		generated	general
thin	To thin	thins	thinned	thinning	thiner	thination		generated	general
assimilate	To assimilate	assimilates	assimilated	assimilating	assimilater	assimilatation		generated	general
laminate	To laminate	laminates	laminated	laminating	laminater	laminatation		generated	general
advertise	To advertise	advertises	advertised	advertising	advertiser	advertisation		generated	general
cue	To cue	cues	cued	cuing	cuer	cuation		generated	general
experiment	To experiment	experiments	experimented	experimenting	experimenter	experimention		generated	general
transpose	To transpose	transposes	transposed	transposing	transposer	transposation		generated	general
improvise	To improvise	improvises	improvised	improvising	improviser	improvisation		generated	general
vary	To vary	varies	varied	varying	varyer	varyation		generated	general
compress	To compress	compresses	compressed	compressing	compresser	compressation		generated	general
substitute	To substitute	substitutes	substituted	substituting	substituter	substitutation		generated	general
tear	To tear	tears	teared	tearing	tearer	tearation		generated	general
euthanize	To euthanize	euthanizes	euthanized	euthanizing	euthanizer	euthanization		generated	general
admit	To admit	admits	admitted	admitting	admiter	admition		generated	general
incise	To incise	incises	incised	incising	inciser	incisation		generated	general
groom	To groom	grooms	groomed	grooming	groomer	groomation		generated	general
discipline	To discipline	disciplines	disciplined	disciplining	discipliner	disciplination		generated	general
extinguish	To extinguish	extinguishes	extinguished	extinguishing	extinguisher	extinguishation		generated	general
guard	To guard	guards	guarded	guarding	guarder	guardation		generated	general
block	To block	blocks	blocked	blocking	blocker	blockation		generated	general
watch	To watch	watches	watched	watching	watcher	watchation		generated	general
shop	To shop	shops	shopped	shopping	shoper	shopation		generated	general
portion	To portion	portions	portioned	portioning	portioner	portionation		generated	general
butcher	To butcher	butchers	butcherred	butcherring	butcherer	butcheration		generated	general
grill	To grill	grills	grilled	grilling	griller	grillation		generated	general
stir	To stir	stirs	stirred	stirring	stirer	stiration		generated	general
attempt	To attempt	attempts	attempted	attempting	attempter	attemption		generated	general
garnish	To garnish	garnishes	garnished	garnishing	garnisher	garnishation		generated	general
wipe	To wipe	wipes	wiped	wiping	wiper	wipation		generated	general
strip	To strip	strips	stripped	stripping	striper	stripation		generated	general
mow	To mow	mows	mowed	mowing	mower	mowation		generated	general
steamclean	To steamclean	steamcleans	steamcleaned	steamcleaning	steamcleaner	steamcleanation		generated	general
empty	To empty	empties	emptied	emptying	emptyer	emptyation		generated	general
embalm	To embalm	embalms	embalmed	embalming	embalmer	embalmation		generated	general
shampoo	To shampoo	shampooes	shampooed	shampooing	shampooer	shampooation		generated	general
shave	To shave	shaves	shaved	shaving	shaver	shavation		generated	general
cleanse	To cleanse	cleanses	cleansed	cleansing	cleanser	cleansation		generated	general
bag	To bag	bags	bagged	bagging	bager	bagation		generated	general
converse	To converse	converses	conversed	conversing	converser	conversation		generated	general
emphasize	To emphasize	emphasizes	emphasized	emphasizing	emphasizer	emphasization		generated	general
pose	To pose	poses	posed	posing	poser	posation		generated	general
