id	name	description	type
Mailersend	MailerSend	MailerSend is a powerful transactional email system built for developers but designed so non-tech teams can contribute without coding.	Transactional Email
Mailfloss	mailfloss	Mailfloss is an email verification platform where you can put your bulk email verification on autopilot and start maximizing your email ROI.	Email
Mailfold	Mailfold	Mailfold sends an environmentally friendly direct mail campaign to customers anywhere in the United States. Delivery typically occurs within 3-5 business days.	CRM (Customer Relationship Management)
Mailgun	Mailgun	Mailgun is a tool with powerful APIs that allow you to send, receive, track and store email effortlessly. Except, with Zapier you don't have to write any code!	Transactional Email
Mailifier	Mailifier	Mailifier is a full-feature email verification service, which allows you to get rid of problems with email campaigns, increase the deliverability of emails and avoid blocking by the email provider.	Email
Mailinator	Mailinator	Mailinator is an email app that allows you to post messages into your private domain.	Email
Mailingvox	MailingVox	In a few clicks, manage your multichannel campaigns (voice mailing, SMS, EMAIL ...) on a simple, efficient and fast interface	Marketing
Mailingwork	MAILINGWORK	MAILINGWORK is your professional platform for marketing automation, email marketing & lead management.	eCommerce
Mailjet	Mailjet	Mailjet is an all-in-one solution to send, track and deliver transactional, notification and marketing emails.  Engage, analyze and react with your client base through email. Get started by using the Mailjet zap to synchronise contacts from your favorite eCommerce, CRM or other SaaS  tools to your Mailjet contact lists. For users on API version 3 or higher.	Email Newsletters
Mailjoy	Mailjoy	Mailjoy is a DIY direct mail platform that makes real mail as easy and data-driven as email. Design, target, and track postcard & letter campaigns.	Marketing Automation
Mailmergic	MailMergic	MailMergic is a platform to mail merge PDF and Word documents.	Documents
Mailmeteor	Mailmeteor	Mailmeteor is a trusted email marketing solution to send personalized mass emails.	Communication
Mailmodo	Mailmodo	Mailmodo is an email marketing tool which helps businesses get higher conversions from their emails	Marketing
Mailmojo	Mailmojo	Mailmojo is a Norwegian email marketing platform made especially with small businesses in mind.	Email Newsletters
Mailmoo	MailMoo	MailMoo is a tool that turns one recording into thousands of AI-personalized video messages for scalable and automated cold outreach.	AI Assistants
Mailmunch	MailMunch	MailMunch captures leads from your website and converts visitors into life-long readers, email subscribers and customers.	Marketing Automation
Mailninja	MailNinja	MailNinja is an affordable email marketing platform for small business.	Email Newsletters
Mailparser	Mailparser	Send emails to Mailparser, get structured data in return. Leads, Contact Forms, eCommerce, Shipping Notes, Attachments, Customer Info & more.	Email
Mailpion	MailPion	MailPion is the go-to platform for email marketing excellence. Seamlessly send targeted emails, efficiently manage contacts, all in one intuitive platform.	Marketing Automation
Mailrelay	Mailrelay	Mailrelay is an advanced email marketing platform with powerful features. It allows you to create, send and manage your newsletters providing complete subscriber behaviour statistics.	Email Newsletters
Mailrush.io	MailRush.io	Export email events and export contact details of prospect that have triggered a tracking event from outreach campaigns at MailRush.io	Sales & CRM
Mails.so	mails.so	mails.so is an email validation service. It checks if an address is valid, if it exists, or if it can receive mail, keeping your contact lists clean.	Marketing Automation
Mailshake	Mailshake	Mailshake is a simple outreach tool that works with any Google account.	Drip Emails
MailslurpEmailPlugin	MailSlurp Email Plugin	MailSlurp is an API to generate test email accounts for sending and receiving real emails in tests.	Email
Mailsoftly	Mailsoftly	Mailsoftly is a free email marketing tool designed to send personalized emails and newsletters.	Email Newsletters
Mailsuite	Mailsuite	Mailsuite is an email tracker for Gmail that lets you monitor email opens, clicks, and document views in real time.	Email
Mailtoon	Mailtoon	Mailtoon is an automated personalized video creation tool. We take one generic video and a lead list then create personalized videos for all leads.	Marketing Automation
Mailtrap	Mailtrap	Mailtrap lets you to send an email to your recipients and see stats about it.	Transactional Email
Mailup	MailUp	MailUp is your complete email delivery solution. Send newsletters, create blog digests from RSS feeds, send automated messages when certain conditions occur. Advanced email marketing tools made easy.	Drip Emails
Mailvio	Mailvio	Mailvio is an advanced email marketing and automation platform you can use to send newsletter emails, manage your transactional emails, and send SMS.	Email Newsletters
Mailwizz	MailWizz	MailWizz is a simple, efficient and full-featured self-hosted email marketing software with an impressive features set.	Email Newsletters
Mailxpert	mailXpert	mailXpert is a leading E-Mail-Marketing Solution based in Switzerland.	Email Newsletters
MainCampaign	Main Campaign	Main Campaign is an ad performance analytics tool to match actual revenue in CRMs to ads on marketing platforms.	Ads & Conversion
Mainstack	Mainstack	Mainstack is an all-in-one platform for entrepreneurs, creators, and businesses to showcase their work, sell products and services with global payment options	eCommerce
Maintainx	MaintainX	MaintainX helps you track your reactive maintenance, preventive maintenance, and control the daily operations of your business.	Task Management
MaintenanceCare	Maintenance Care	Maintenance Care is a CMMS software for work orders, preventive maintenance and asset management.	Task Management
Malartu	Malartu	Malartu automates business advisory reports. Understand where the business has been, where it’s going, and how that compares to peers. 	Analytics
MarcomRobot	MARCOM Robot	MARCOM Robot Data Quality Engine helps B2B Marketing and Sales Operations leaders deliver better quality MQLs and convert them into bookings by arming them with data enrichment and data validation tools.	Databases
Marketsharp	MarketSharp	MarketSharp is a CRM program for contractors, remodelers, and home improvement professionals. It helps companies organize their leads, customers, and jobs, as well as automate their business processes.	CRM (Customer Relationship Management)
MarkupAi	Markup AI	Markup AI is a set of Content Guardian Agents that integrate into your workflow to keep brand, tone, terminology, and compliance aligned.	AI Assistants
MarlieAi	Marlie AI	Marlie AI is a voice assistant that answers calls, qualifies leads, schedules appointments, and keeps your CRMs, sheets, and messaging apps up to date.	AI Assistants
MaropostMarketingCloud	Maropost Marketing Cloud	Maropost Marketing Cloud is the multi-channel marketing platform to automate all your marketing needs	Marketing
MastodonFediverseUnshape	Mastodon / Fediverse by Unshape	Seamlessly automate your Mastodon posts with Unshape.	Social Media Marketing
Mattermix	Mattermix	Mattermix automates image creation with a drag-and-drop design editor and API.	Images & Design
Mav	Mav	Mav is an AI-powered SMS agent that automates the back-and-forth with your leads and customers via text message.	Sales & CRM
Maximiz	Maximiz	Maximiz helps you discover your audience's untapped potential by turning website browsers into buyers.	Analytics
Mediabrains	MediaBrains	MediaBrains is a marketing platform that allows you to manage reputation, leads and directory listings to help your organization thrive.	Marketing
Meetbot	Meetbot	Meetbot is a scheduling solution for people and AI agents to book meetings through scheduling pages, making it easy to check availability and confirm bookings.	Scheduling & Booking
Meetgeek.ai	Meetgeek.ai	Meetgeek helps you record, transcribe, take notes, and share key highlights of your online calls. Automatic note-taking keeps you focused on the conversation while it writes down all the important details for you.	AI Meeting Assistants
Melo	Melo	Melo is an API that makes it easy to get — and use — real estate data.	Analytics
Member365	Member365	Member365 is an All-in-One Membership Management CRM software that can automate your membership renewals and payments.	CRM (Customer Relationship Management)
Membrain	Membrain	Membrain's software and services make it easy for sales teams to execute a sales strategy to consistently reach sales targets.	CRM (Customer Relationship Management)
Messagedesk	MessageDesk	MessageDesk is a text messaging service that allows you to schedule text messages, save templates, automate recurring message sends, send out mass broadcast sends and more	Communication
MessengerBot	Messenger Bot	Messenger Bot is a multi channel marketing suite that combines Messenger Marketing, SMS Marketing, Email Marketing, Social Media Marketing, and eCommerce into one dashboard.	Marketing
MicrosoftClarity	Microsoft Clarity	Clarity is a free, easy-to-use tool that captures how real people actually use your site. Setup is easy and you'll start getting data in minutes.	Analytics
Mileiq	MileIQ	MileIQ is an American-based technology company that develops a mileage tracking and logging app.	Analytics
Mindstamp	Mindstamp	Mindstamp is an interactive video solution that helps you increase customer engagement, collect data, drive actions, and automate workflows	Video & Audio
MiniCourseGenerator	Mini Course Generator	Easily create & sell courses with Mini Course Generator. Ideal for educators & creators seeking automated ways to boost learner engagement.	Education
Minutemailer	Minutemailer	Create and send newsletters and email marketing using Minutemailer to increase your sales and keep your contacts updated.	Email Newsletters
MistralAi	Mistral AI	Mistral AI is a platform for building, customizing, and deploying advanced AI models and agents for enterprise and developer use.	AI Models
Miu.ai	miu.ai	miu.ai is an AI-driven chatbot solution designed to enhance customer engagement and streamline workflows.	AI Assistants
Modeck	MoDeck	MoDeck automates After Effects templates, making mogrt templates customizable online. Enhance your workflow with this powerful desktop app.	Video & Audio
ModernMaid	Modern Maid	Modern Maid is a scheduling app for cleaning businesses across the nation that helps you organize and automate your business while increasing conversion rates.	Productivity
Moengage	MoEngage	MoEngage is a full-stack solution consisting of powerful customer analytics, automated cross-channel engagement and AI-driven personalization.	Marketing Automation
MojoDialer	Mojo Dialer	Mojo Dialer is a real estate prospecting software that allows users to find and manage leads, automate lead follow up and transactional tasks, and more. 	Phone & SMS
MoldNinja	Mold Ninja	Mold Ninja provides a comprehensive solution for managing estimates and job scheduling, with automated notifications.	Sales & CRM
Moloni	Moloni	Moloni is an online invoicing software, that allows each entrepreneur to effectively control business, automate billing, deliver documents quickly and intuitively.	Accounting
MonaAi	Mona AI	Mona AI is an end-to-end automation platform tailored for HR and staffing services, designed to eliminate manual processes via AI.	HR Talent & Recruitment
Monkeylearn	MonkeyLearn	MonkeyLearn is a Text Analysis platform that allows you to classify and extract actionable data from raw texts like emails, chats, webpages, documents, tweets and more! You can classify texts with custom tags like sentiment or topic, and extract any particular data like organizations or keywords.	Analytics
Moreapp	MoreApp	MoreApp is a tool to automate work processes. Save time with Digital Work Orders, Inspections, Reports, and more!	Forms & Surveys
Moreflow	moreflow	moreflow is the tool for coaches and service businesses to scale and automate their business.	Sales & CRM
Morphais	Morphais	Morphais is a data platform that shares (pre-)seed startups and stealth founders.	Databases
Mosaic	Mosaic	Mosaic maximizes companies' efficiency and profitability by automating the planning, management, and tracking of time	Project Management
MothernodeCrm	Mothernode CRM	Mothernode CRM  - manage your sales pipeline, improve customer retention and automate your business processes.	CRM (Customer Relationship Management)
Motion	Motion	Motion uses artificial intelligence to optimize your and your team’s day. It automatically prioritizes tasks, schedules meetings & resolves calendar conflicts.	Project Management
Moveo.ai	Moveo.AI	Moveo.AI is a conversational AI platform that powers the toughest conversations through GenAI agents, driving efficiency and financial outcomes.	AI Assistants
MslmCloudEmailVerify	Mslm Cloud - Email Verify	Email Verify helps identify email authenticity and tells if it is real, fake or disposable email address	Email
Mumble	Mumble	Mumble facilitates customer communication via automated messaging using Whatsapp Business API.	Communication
Mune.ai	Mune.ai	Mune.ai is a platform that helps you build and manage your websites using AI.	AI Assistants
Muse.ai	muse.ai	muse.ai is a complete video hosting and streaming platform with a clean	AI Tool
MyAskai	My AskAI	My AskAI is an AI customer support chatbot with human handover, trained on your company knowledge, that you can add to your site in minutes.	Customer Support
Mybizzmail	MyBizzMail	Mybizzmail is an email marketing service provider.	AI Tool
MyBizzMail also gives you a report of who has visited which pages on your site via the email.	mybizzmail	Email Newsletters	AI Tool
Mygadgetrepairs	MyGadgetRepairs	MyGadgetRepairs gives you tracking, inventory management, invoicing, point of sale and much more. Trusted by hundreds of users across the globe.	CRM (Customer Relationship Management)
Myreel.ai	MyReel.ai	Effortlessly create faceless reels and short videos with MyReel.ai. Simply provide a prompt, and our AI generates unique, engaging content in seconds.	AI Content Generation
Myreport	MyReport	MyReport automates data collection, selection, writing, and citations, saving you time by generating a ready-to-use report or essay effortlessly.	Documents
Myworkerai	MyWorkerAI	MyWorkerAI efficiently finds and filters high-quality leads. Initiates tailored communication to enhance engagement.	eCommerce
Namsor	Namsor	Namsor is a name analysis solution that delivers unmatched precision in identifying origin, gender, ethnicity, and more.	Analytics
Nemonic	Nemonic	Nemonic is a versatile inkless printer for sticky notes and labels. Effortlessly automate the visualization of reminders, ideas, and inspirations.	Printing
NewUserApprove	New User Approve	New User Approve is a plugin automates the user registration process on your WordPress website.	Contact Management
Nexprop.ai	Nexprop.ai	Nexprop.ai is a real estate CRM platform that helps manage property leads, client engagement, and sales workflows.	Sales & CRM
Nextbrain	NextBrain	AutoML no-code Machine Learning in seconds	Business Intelligence
Ninetailed	Ninetailed	API-first personalization and experimentation solution that gives digital builders radical freedom to create instant experiences.	Marketing Automation
Ninjaoutreach	NinjaOutreach	NinjaOutreach streamlines your influencer marketing, blogger outreach and lead generation process with automated campaigns and follow-ups.	Marketing Automation
Nocodeform	NoCodeForm	NoCodeForm is a form backend service that enables you to create, store and automate form submissions.	Forms & Surveys
Noty.ai	Noty.ai	Noty.ai  is an AI Meeting Assistant. It allows you to transcribe, summarize and automate your meetings workflow, organize and keep track of tasks.	AI Meeting Assistants
Nuacom	NUACOM	NUACOM is a unified communication platform and phone system to automate your call process.	Phone & SMS
Nuelink	Nuelink	Nuelink helps you plan, automate and manage your social media and saves you time to focus on your business while your social media runs itself.	Social Media Marketing
Nutribot	NutriBot	NutriBot is a comprehensive meal prep software that covers four essential layers. Each user receives an appropriate tool that takes their needs into account.	eCommerce
NutrientWorkflowAutomation	Nutrient Workflow Automation	Nutrient Workflow Automation is a document-centric business process automation tool that streamlines and scales business workflows.	IT Operations
Nvoip	Nvoip	Nvoip is an omnichannel platform for multichannel communication. Integrate with Zapier to automate SMS, WhatsApp, calls, and more.	Communication
Nyota.ai	Nyota.ai	Nyota.ai: AI-powered meeting notes, planning and insights for a more productive workflow.	AI Assistants
ObdGo2market	OBD by Go2Market	G2M is a cloud telephony service for sending automated voice messages and managing campaigns with scheduling and retry options.	Developer Tools
ObjectionProofAi	Objection Proof AI	Objection Proof AI is a tool to help businesses build self-managing sales teams.	Sales & CRM
ObviouslyAi	Obviously AI	Obviously AI enables any business user to use historical data and make high fidelity predictive AI models in minutes, without writing code.	Developer Tools
OctaneAi	Octane AI	Octane AI is the zero-party data marketing platform for Shopify merchants.	Marketing Automation
Octoboard	Octoboard	Octoboard builds real-time office TV dashboards, online client portals, automated reports and AI data analytics platform for sharing cloud data with team members, management and clients.	Analytics
Officernd	OfficeRnD	OfficeRnD is a workspace management platform helping Coworking Spaces and Business Centers automate operations and improve members experience. The platform acts like a central hub that connects to and manages all systems already in place, saving space operators time and allowing them to focus only on the highest leverage activities.	CRM (Customer Relationship Management)
OfforteProposals	Offorte Proposals	Offorte helps you win more deals by letting you share beautiful business proposals in a smart automated way.	Proposal & Invoice Management
Olakai	Olakai	Olakai is an AI Intelligence Platform that unifies measurement, governance, and strategy.	Analytics
OmgSalesAssessments	OMG Sales Assessments	Objective Management Group's (OMG) Sales Candidate Assessment is a sales-specific screening tool that provides an analysis of a candidate's skills, strengths and capabilities, and recommends whether to move forward with an interview.	Analytics
On2air	On2Air	On2Air is the complete suite of products to be efficient and maximize platforms such as Airtable.	Databases
Onalu	Onalu	Onalu is a new kind of spreadsheet with the power to automate the human side of your business process.	Website & App Building
Onboard.io	Onboard.io	Onboard is a SaaS made specifically for customer implementation. Customized MAPS allow teams to automate the best implementation plans and provide visibility for every customer.	Customer Support
OneAi	One AI	One AI is an API-first, language AI service built for developers. Embed our API to analyze, process, and transform text in your project	Developer Tools
Onedeck	OneDeck	OneDeck is a smart and automated platform for all business management needs. Workflow, collaboration, data management and communication.	CRM (Customer Relationship Management)
Oneflow	Oneflow	Oneflow is a digital platform that automates entire contract process from creating, signing and sending.	Signatures
Onehash	OneHash	OneHash is a cloud-based, robust, scalable, agile, affordable, and fully featured FaaS solution with top-notch AI-automated Customer Assistance, CRM, ERP, HCM, Project Management, Helpdesk, and other SaaS that your business may need.	CRM (Customer Relationship Management)
Onepgr	OnePgr	OnePgr offers a communication & collaboration platform to help automate your organizational workflow for business processes such as Sales, Support, IT, HR, allowing you to hold online meetings, make phone calls, share documents, and send text messages seamlessly from your tools.	Team Collaboration
Onesignal	OneSignal	OneSignal is a simple and smart service that send push notifications across all platforms. OneSignal features reliable delivery of millions of notifications, segmentation and targeting, automated delivery, localization, support for all major app development tools, and real time analytics.	Notifications
OnlineConvert.com	online-convert.com	online-convert.com is a file conversion tool to automate converting files between formats in your workflows.	File Management & Storage
Onlinefundraising	OnlineFundraising	OnlineFundraising is a integration tool between payment methods and onboarding activities, based in Denmark.	Payment Processing
Onspace	OnSpace	OnSpace is no-code platform that helps operation teams to automate and manage their manual work.	App Builder
OpengovEnterpriseAssetManagement	OpenGov Enterprise Asset Management	OpenGov Enterprise Asset Management is a solution that helps governments manage assets, automate tasks, and share real-time data across connected tools.	Business Intelligence
Opnform	OpnForm	Integrate OpnForm to automate workflows! Seamlessly connect your forms with 2000+ apps to boost productivity and efficiency.	Forms & Surveys
Oppbot	OppBot	OppBot is an AI assistant for demand generation teams that converts your underserved leads into sales-ready opportunities for your sales team.	Marketing Automation
Opsgenie	OpsGenie	OpsGenie extends IT Operations Management to mobile devices. OpsGenie gets alerts from IT management systems and notify the users via iPhone/Android push notifications, email, text messages and voice to text phone calls. OpsGenie automates the notification process, empowering users to receive alert notifications and rapidly respond to them directly from OpsGenie apps.	Server Monitoring
OptimizelyCampaign	Optimizely Campaign	Optimizely Campaign is an omnichannel marketing software that allows users to create, send and report on targeted content.	Email Newsletters
Optivalue.ai	OptiValue.ai	OptiValue.ai is a AI solution designed specifically for RFP, audit, and compliance questionnaires — and it goes far beyond simply answering questions.	AI Assistants
Orbitai	OrbitAI	OrbitAI helps companies make the most of their customer data. Manage product strategy, user research, customer feedback and start building better products today.	Product Management
Orca	Orca	Orca enables B2B sales teams to efficiently and effectively engage prospects to drive more pipeline and close more deals through automated Linkedin engagements.	Marketing Automation
Ordermate	Ordermate	Ordermate is an automated buying app that allows you to make automatic orders from Amazon, Walmart, and other retailers.	eCommerce
OrderTaggerShopCircle	Order Tagger by Shop Circle	Order Tagger ‑ Auto Tags Flow by Shop Circle allows you to create automated workflows to add tags based on criteria you specify.	eCommerce
Otter.ai	Otter.ai	Otter.ai is an AI-powered transcription service that converts speech to text in real-time, facilitating accurate and efficient note-taking.	AI Meeting Assistants
OtterWaiver	Otter Waiver	Otter Waiver delivers a modern waiver signing experience that your staff and participants will love.	Productivity
Outboundapi	OutboundAPI	OutboundAPI is a platform that lets you create AI voice agents to make automated calls for data collection, payments, or task coordination.	Phone & SMS
OutdooAi	Outdoo AI	Outdoo AI is a SaaS app that drives 3x revenue productivity with contextual sales roleplay, instant call scoring, and deal guidance - powered by AI agents.	Sales & CRM
OutOfficeAssistantJira	Out of Office Assistant for Jira	Out of Office Assistant is an app within the Jira Cloud environment to automatically inform your colleagues if they assigned you issues in your absence, and reassign automatically if coverers are selected.	Productivity
Oveit	Oveit	Oveit simplifies event registration, offering automated processes, data-driven insights, and CRM integration to improve attendee experience	Event Management
OverbookedAi	Overbooked AI	Overbooked AI is a service that automates missed calls, follow-ups, and bookings, so you never miss a lead or lose a potential customer.	Phone & SMS
OverlayAi	Overlay AI	Overlay is an AI object recognition platform providing real time information about your workspace.	Productivity
Overledger	Overledger	Overledger is a suite of powerful interoperable blockchain APIs to automate your asset lifecycle and connect data feeds to legacy systems.	IT Operations
Overloop.ai	Overloop.ai	Overloop.ai is an AI-powered Sales Automation Platform that runs all your outbound campaigns 100% automatically.	Sales & CRM
Owlstat	OwlStat	OwlStat is an Instagram analytics tool to check your accounts' insights and statistics	Analytics
Ownly	Ownly	Ownly is online platform that lets homebuyers save and reserve homes, streamlining the sales process for builders with automated pricing and reservations	CRM (Customer Relationship Management)
PacedEmail	Paced Email	Paced Email allows you to control when you receive emails by creating custom aliases. Batch messages into daily, weekly or monthly digests.	Email
PacklinkPro	Packlink PRO	Packlink Pro is a professional shipping platform that allows you to automate your shipment process.	eCommerce
Pagevitals	PageVitals	PageVitals is an easy, affordable website performance monitoring tool, using both RUM (real-user monitoring) and Lighthouse tests.	Analytics
PaidMembershipsPro	Paid Memberships Pro	PMPro plugin helps you start, manage, & grow a membership site on WordPress. Protect content, register users, & accept recurring payments.	eCommerce
Paige	Paige	Paige is an AI-powered automated marketing platform for SMBs and agencies.	Productivity
Paigo	Paigo	Paigo helps you measure customer usage, calculate customer invoices, analyze cost, and charge customers in their specific channel.	Proposal & Invoice Management
PainelDoCorretor	Painel do Corretor	The Panel do Corretor is the best CRM and quotation app to insurance brokers!	CRM (Customer Relationship Management)
Paintscout	PaintScout	PaintScout helps estimate & sell painting jobs.	Proposal & Invoice Management
Palm.hr	Palm.hr	palm.hr is a fully automated HRMS and your path to building a streamlined and consistent employee experience. It has everything modern HR teams need to manage, grow and engage their people without compromise.	Human Resources
Papertrail	Papertrail	Papertrail offers a software solution that is able to record and manage logs from different locations.	Project Management
Paradym	Paradym	Use Paradym to issue identity documents, verify user identity, and ultimately enable more secure and automated data verification	Security & Identity Tools
ParcelTracker	Parcel Tracker	Parcel Tracker is a tool for easily managing incoming and outgoing deliveries using automated data extraction technology.	Commerce
ParsdAiCapellaSolutions	Parsd AI by Capella Solutions	Parsd AI is a document digitizing tool that transforms documents into data.	Documents
Partnerstack	PartnerStack	PartnerStack (formerly GrowSumo) is a growth automation platform that helps your company automatically manage and reward partners for promoting your business. Fully equip your partners for marketing, referral, and sales success with custom referral links and company pages. Engage partners through automated email campaigns and challenges, and then track partner performance with detailed analytics. Use the centralized dashboard to support all of your partner channels, including reseller, marketing, and referral partner programs. You can even ensure global compliance by funnelling all rewards through PartnerStack.	Marketing Automation
Payfacile	PayFacile	Supercharge your business with PayFacile! The ultimate no-code e-commerce app for subscriptions & sales. Build, automate, and secure effortlessly.	Payment Processing
Payrexx	Payrexx	Payrexx is a payment solution for global SMEs. This app lets you automate your payment processes or pull your transaction details for accounting purposes.	Payment Processing
Pdfmonkey	PDFMonkey	PDFMonkey is an app that automates PDF generation, provides a dashboard to manage templates, and provides a simple API to generate documents.	Documents
Peach	Peach	Peach helps you automate customer interactions, send beautiful campaigns and track conversions in one simple to use platform.	Communication
Pendo	Pendo	Pendo is an extension of your product that captures user behavior, gathers feedback, and guides users.	Analytics
PenguinPilot	Penguin Pilot	Penguin Pilot is an AI-driven content platform that creates and manages text, image, and video content to automate your brand’s entire content workflow.	Social Media Marketing
Pennylane	Pennylane	Pennylane centralizes all your cash flows and connects with your financial tools to ease and automate collaboration with your accountant.	Accounting
Penpals	PenPals	PenPals is a service to automate handwritten cards for key moments, helping deliver a more personal touch to clients & prospects.	Customer Appreciation
Pentroy	Pentroy	Reach each of your customers with postcards and handwritten letters in automated flows.	Marketing
PersanaAi	Persana AI	Persana AI is a powerful tool for getting real time and accurate B2B data on people and companies.	CRM (Customer Relationship Management)
PersonalAi	Personal AI	Personal AI, your digital mind for enhanced living. Unlock AI's power as it recalls memories and engages in meaningful conversations.	AI Assistants
Pete	Pete	Pete is a platform that helps real estate investors manage deals, automate workflows, and streamline their investment process.	CRM (Customer Relationship Management)
Phedone	Phedone	Phedone is an natural language processing tool to automate and improve your customer ticketing and knowledge base flow	Customer Support
Phoneraise	PhoneRaise	PhoneRaise is an app built specifically for moves management, tracking your donor relationships and implement your outreach plan – right from your phone.	Fundraising
Pika	Pika	Automate image generation using Pika API	Images & Design
PinchPayments	Pinch Payments	Pinch Payments is a PCI Compliant, Australian payments platform offering automated bank account, direct debit, and credit card payments for standard and repeating invoices or standalone transactions.	Payment Processing
Pingback	Pingback	Pingback is a marketing and sales tool that helps you automate lead generation, nurturing, and conversion.	Marketing Automation
PingsailorSms	PingSailor SMS	PingSailor is an SMS messaging tool that allows you to send text messages globally.	Communication
Pipes.ai	Pipes.ai	Pipes.ai is a platform that improves your outbound marketing contact rates: Get more of your customers on the phone without making a hire.	Phone & SMS
Plainly	Plainly	Plainly is a cloud-based tool that works with your After Effects templates to automatically create multiple versions of a video from a single project.	Video & Audio
Pleo	Pleo	Pleo offers smart company cards that automate expense reports and simplify company spending.	Accounting
Plugnpaid	plugnpaid	plugnpaid is an online eCommerce platforms for SMEs and solopreneurs.	eCommerce
PlumsailDocuments	Plumsail Documents	Generate documents from DOCX, XLSX, PPTX, HTML templates and populate fillable PDF forms. Automate your contracts, invoices, reports, tickets and more.	Documents
PlumsailForms	Plumsail Forms	Plumsail Forms allows you to design fully responsive web forms containing wizards, tabs, data tables, hand-written notes and publish them to any websites.	Forms & Surveys
Plura.ai	Plura.ai	Plura.ai is an omni-channel AI agent communication platform.	Developer Tools
PlusAi	Plus AI	Plus AI is a presentation generation tool that lets you easily generate presentations with AI.	Productivity
Pluspoint	Pluspoint	Pluspoint is customer reviews software that helps you to automate review generation, manage reputation and get more customers.	Reviews
Plusvibe.ai	PlusVibe.ai	PlusVibe.ai (formerly Pipl.ai) is a cold email automation platform that offers an AI-powered cold outreach solution to enhance your cold outreach at scale.	Marketing Automation
Podbitesai	PodBitesAI	PodBitesAI helps you generate show notes, transcription, and "bites" from your audio or video content	Video & Audio
Polly	Polly	Trigger automated feedback directly in Slack with Polly.	Forms & Surveys
Ponto	Ponto	Ponto lets companies automate their finances by offering an API on top of 150+ European banks. Ponto is an Isabel Group product licensed in Belgium.	Accounting
Poodle	Poodle	Poodle is an email API for busy product engineers. You can automate and scale your emails in minutes and leave all the reliability and deliverability to us.	Transactional Email
Postal.io	Postal.io	Postal.io automates the offline for Sales & Marketing	Marketing
PostgridPrint&Mail	PostGrid Print & Mail	PostGrid's Print & Mail REST API allows you to send personalized letters, checks, or postcards on demand and at scale.	Marketing Automation
Posthog	PostHog	PostHog is the single platform for building successful products. Open-source product analytics, web analytics, session replay, feature flags, surveys, and more.	Analytics
PostingAutomation	Posting Automation	Posting Automation is a tool to organize and automate data received from content banners, streamlining your workflow and ensuring efficiency.	Social Media Marketing
PostMyLink	Post My Link	Post My Link is an advanced URL short-link service for individuals and collaborative teams.	Analytics
PowerBi	Power Bi	Power BI aims to provide interactive visualizations and business intelligence capabilities with an interface simple enough for end users to create their own reports and dashboards.	Analytics
Powercall.io	Powercall.io	Powercall.io is a CRM and VOIP phone with AI assistance. It can be used to facilitate customer acquisition using an automated pipeline process.	CRM (Customer Relationship Management)
Powrbot	Powrbot	Powrbot automates searching the web for company data.	CRM (Customer Relationship Management)
PracticepantherLegalSoftware	PracticePanther Legal Software	PracticePanther is a practice management software used by numerous legal practitioners worldwide to automate their firms.	CRM (Customer Relationship Management)
Praiz	Praiz	Praiz is the video hub for modern teams where you find all your business conversations.	Sales & CRM
Precallai	PreCallAI	PreCallAI is an AI-powered call center app that uses virtual assistants to handle inbound and outbound calls, automating customer interactions.	Sales & CRM
Precisefp	PreciseFP	PreciseFP is a data management platform that helps with your data-gathering process and automates your administrative work.	Forms & Surveys
PredictiveSalesAi	Predictive Sales AI	Predictive Sales AI is a lead generation and communication tool to help contractors generate more leads and sales.	Marketing Automation
Predis.ai	Predis.ai	Predis.ai helps you make Branded Social media content - Videos/Carousels/single-image posts from text input.	AI Content Generation
PrescreenAi	PreScreen AI	PreScreen AI is a tool for job interviews, interacting with candidates like a human and offering automated, precise assessments.	HR Talent & Recruitment
Pricehubble	PriceHubble	PriceHubble is the leading provider of residential real estate valuation and analyses.	Analytics
Pricewaiter	PriceWaiter	PriceWaiter makes buying and selling better, through fast, simple, private negotiation - anywhere on the web.	eCommerce
PrintAutopilot	Print Autopilot	The easy way to automate your printing needs	Printing
Printgenie	PRINTgenie	PRINTgenie is an automated system for running Multi-Touch drip campaigns. You can Select or Build Your Own Direct Mail, Text & eMail Sequences. Simply Add a Contact, Set it and Forget it.	Marketing Automation
Prisme.ai	Prisme.ai	Prisme.ai is a platform combining low-code automation & chatbots	App Builder
ProcessPlan	Process Plan	ProcessPlan is a process, procedure, project, and workflow tool.  Visually diagram your processes and then let ProcessPlan automate and manage your daily operations so you don't have to worry about making sure things are done correctly.  Make your business run like a well-oiled machine while you sit back and relax!	Product Management
Productify.ai	Productify.ai	Productify.ai is a platform to automate eCommerce product content generation & save time. Create Product descriptions, SEO, FABs & extract data from images.	eCommerce
ProductListGenie	Product List Genie	Product List Genie is a Leads integration to connect on a vast library of connected apps to automate workflow.	eCommerce
ProperPayments	Proper Payments	Proper Payments is a flexible billing platform that automates invoicing, subscription billing, and reconciliation—no more spreadsheets.	Proposal & Invoice Management
PropheroCrm	PropHero CRM	PropHero CRM is real estate CRM platform dedicated for real estate agencies and agents/brokers to streamline and automate their day to day workflow.	CRM (Customer Relationship Management)
Proposify	Proposify	Do more! Proposify let's you connect with thousands of the most popular apps, so you can automate your work and have more time for what matters most—no code required.	Proposal & Invoice Management
